Date,Temp
2016-11-28,20.1963013699
2016-11-29,20.0964285714
2016-11-30,20.0171232877
2016-12-01,19.9985294118
2016-12-02,19.7501851852
2016-12-03,20.171369863
2016-12-04,20.0641428571
2016-12-05,19.9550769231
2016-12-06,19.8480597015
2016-12-07,20.1727868852
2016-12-08,19.727761194
2016-12-09,19.955942029
2016-12-10,20.05
2016-12-11,19.959375
2016-12-12,20.0240677966
2016-12-13,20.0348484848
2016-12-14,20.0091176471
2016-12-15,19.9736363636
2016-12-16,20.1180882353
2016-12-17,19.9386764706
2016-12-18,19.6122580645
2016-12-19,20.263030303
2016-12-20,20.003968254
2016-12-21,19.8477941176
2016-12-22,20.1168571429
2016-12-23,19.9659322034
2016-12-24,20.0383606557
2016-12-25,19.2853125
2016-12-26,18.6041666667
2016-12-27,18.53828125
2016-12-28,18.4724615385
2016-12-29,18.6619402985
2016-12-30,18.4576811594
2016-12-31,18.3790909091
2017-01-01,18.3675
2017-01-02,18.3787096774
2017-01-03,18.3903333333
2017-01-04,18.3853125
2017-01-05,18.7430357143
2017-01-06,19.6547887324
2017-01-07,20.3873913043
2017-01-08,20.3954166667
2017-01-09,20.1274137931
2017-01-10,20.0847692308
2017-01-11,20.1188888889
2017-01-12,20.0683823529
2017-01-13,20.0826153846
2017-01-14,20.0374626866
2017-01-15,19.773015873
2017-01-16,20.328028169
2017-01-17,19.9892063492
2017-01-18,20.13640625
2017-01-19,20.0384285714
2017-01-20,20.1267567568
2017-01-21,20.1887692308
2017-01-22,19.8475
2017-01-23,20.0375757576
2017-01-24,19.76921875
2017-01-25,19.9711940299
2017-01-26,20.2735294118
2017-01-27,19.9871875
2017-01-28,20.0213432836
2017-01-29,19.970952381
2017-01-30,20.0778125
2017-01-31,20.0811764706
2017-02-01,20.103442623
2017-02-02,20.0236764706
2017-02-03,19.9342857143
2017-02-04,20.4471428571
2017-02-05,20.1222580645
2017-02-06,20.040952381
2017-02-07,20.0434782609
2017-02-08,20.0028358209
2017-02-09,20.0791304348
2017-02-10,20.1024193548
2017-02-11,20.1057575758
2017-02-12,20.1422727273
2017-02-13,20.0204285714
2017-02-14,20.2864516129
2017-02-15,20.053442623
2017-02-16,20.035
